Entry,Contingent,Leader Number,Ship Number,Text Reference
urn:cite:hmt:catships.Iliad.1,Boeotians,5,50,
urn:cite:hmt:catships.Iliad.2,Orchomenians,2,30,
urn:cite:hmt:catships.Iliad.3,Phocians,2,40,
urn:cite:hmt:catships.Iliad.4,Locrians,1,40,
urn:cite:hmt:catships.Iliad.5,Abantes(Euboeans),1,40,
urn:cite:hmt:catships.Iliad.6,Athenians,1,50,
urn:cite:hmt:catships.Iliad.7,Salaminians,1,12,
urn:cite:hmt:catships.Iliad.8,Argives,3,80,
urn:cite:hmt:catships.Iliad.9,Mycenaeans,1,100,
urn:cite:hmt:catships.Iliad.10,Lacedaemonians,1,60,
urn:cite:hmt:catships.Iliad.11,Pylians,1,90,
urn:cite:hmt:catships.Iliad.12,Arcadians,1,60,
urn:cite:hmt:catships.Iliad.13,Epeians(Eleans),4,10,
urn:cite:hmt:catships.Iliad.14,Dulichians,1,40,
urn:cite:hmt:catships.Iliad.15,Cephallenians,1,12,
urn:cite:hmt:catships.Iliad.16,Aetolians,1,40,
urn:cite:hmt:catships.Iliad.17,Cretans,2,80,
urn:cite:hmt:catships.Iliad.18,Rhodians,1,9,
urn:cite:hmt:catships.Iliad.19,Symaeans,1,3,
urn:cite:hmt:catships.Iliad.20,Coans,2,30,
urn:cite:hmt:catships.Iliad.21,Myrmidons,1,50,
urn:cite:hmt:catships.Iliad.22,Phylacae,2,40,
urn:cite:hmt:catships.Iliad.23,Pheraeans,1,11,
urn:cite:hmt:catships.Iliad.24,Olizonians,2,7,
urn:cite:hmt:catships.Iliad.25,Triccaeans,2,30,
urn:cite:hmt:catships.Iliad.26,Ormenians,1,40,
urn:cite:hmt:catships.Iliad.27,Gyrtonians,2,40,
urn:cite:hmt:catships.Iliad.28,Perrhaebi,1,22,
urn:cite:hmt:catships.Iliad.29,Magnetes,1,40,

